sa_code,sa_name,subtype,area_km2,intersection_count,junction_density,street_density_km_km2,avg_street_length_m,dead_end_ratio,circuity_avg,amenity_count,amenity_density,walkability_index
bdd919e6-e3e2-48d7-a64f-25fa8d424b82,עין הוד,locality,0.2574,27.0,104.88314888547093,35.36210151123515,100.03563211281052,0.7631578947368421,1.0770536002356528,26,100.99858781563867,74.82
37af553e-efc9-44f1-aa37-eb0c218bfba2,ימין אורד,locality,0.1472,21.0,142.63517385111564,37.822785181793265,81.89120324708063,0.7307692307692307,1.181979748824643,1,6.792151135767411,63.51
37a218ca-7ee9-462e-911a-4183ecdcb6a7,גבעת וולפסון,locality,0.0143,0.0,0.0,200.5501226018588,1434.8066904898426,1.0,2.1040578634378346,0,0.0,20.0
e8db492f-e553-4d8a-9516-137cff765796,בית אורן,locality,0.1864,11.0,59.02250384283301,37.09856061421346,160.79171233943418,0.7962962962962963,1.363180343307918,7,37.559775172711916,56.38
db77e61e-6234-4cc7-b42a-2d296b947698,נשר,locality,12.9609,450.0,34.71980742820418,17.280212712392796,168.90432336801985,0.6919917864476386,1.4020437549579408,495,38.1917881710246,42.71
63843280-0db0-4f70-a1c6-34da4c667463,רובע רמות נווה שאנן,locality,3.6466,400.0,109.69077660995198,31.969138826874936,84.84652987409294,0.7455470737913485,1.2639070608020202,322,88.30107517101135,72.98
1ef4c75a-8100-4306-becc-e1cfd0eb078d,רובע רמות הכרמל,locality,11.0416,575.0,52.07591303852548,18.005685955941654,142.51691577284814,0.5845375722543352,1.1584520222923536,786,71.18550895353222,55.04
194bd153-c42a-4226-be0f-0dcccf7c3d15,טירת כרמל,locality,3.0944,353.0,114.0768032101492,25.36979048348534,87.91091184199753,0.6357069143446853,1.2193849762305307,480,155.11859926592524,71.44
9b9f9547-6bfe-47e3-981b-e72d9ee455e9,טירת הכרמל,locality,6.7094,434.0,64.68562501372847,32.8777802683474,197.48370489786893,0.6352941176470588,1.1977061533089353,516,76.90733296563108,64.97
5915cca7-477b-4c6f-901d-415f161e83e8,כפר גלים,locality,0.2989,16.0,53.52738189929898,26.12315548521901,86.76151094859401,0.875968992248062,2.0879612998612327,5,16.727306843530933,34.81
45d3b057-1f40-4b34-9b4e-82cd1f42ceb0,החותרים,locality,0.406,24.0,59.108678225486294,60.07684050677909,280.38051292383005,0.7575757575757576,1.228451923358332,9,22.16575433455736,52.26
